ENHED;TID;INDHOLD
Percentage change compared to same month the year before (per cent);2015M09;0.5
Percentage change compared to same month the year before (per cent);2015M10;0.3
Percentage change compared to same month the year before (per cent);2015M11;0.3
Percentage change compared to same month the year before (per cent);2015M12;0.4
Percentage change compared to same month the year before (per cent);2016M01;0.6
Percentage change compared to same month the year before (per cent);2016M02;0.3
Percentage change compared to same month the year before (per cent);2016M03;0.0
Percentage change compared to same month the year before (per cent);2016M04;0.0
Percentage change compared to same month the year before (per cent);2016M05;0.1
Percentage change compared to same month the year before (per cent);2016M06;0.3
Percentage change compared to same month the year before (per cent);2016M07;0.3
Percentage change compared to same month the year before (per cent);2016M08;0.2
Percentage change compared to same month the year before (per cent);2016M09;0.0
Percentage change compared to same month the year before (per cent);2016M10;0.3
Percentage change compared to same month the year before (per cent);2016M11;0.4
Percentage change compared to same month the year before (per cent);2016M12;0.5
Percentage change compared to same month the year before (per cent);2017M01;0.9
Percentage change compared to same month the year before (per cent);2017M02;1.0
Percentage change compared to same month the year before (per cent);2017M03;1.0
Percentage change compared to same month the year before (per cent);2017M04;1.1
Percentage change compared to same month the year before (per cent);2017M05;0.8
Percentage change compared to same month the year before (per cent);2017M06;0.6
Percentage change compared to same month the year before (per cent);2017M07;1.5
Percentage change compared to same month the year before (per cent);2017M08;1.5
Percentage change compared to same month the year before (per cent);2017M09;1.6
Percentage change compared to same month the year before (per cent);2017M10;1.5
Percentage change compared to same month the year before (per cent);2017M11;1.3
Percentage change compared to same month the year before (per cent);2017M12;1.0
Percentage change compared to same month the year before (per cent);2018M01;0.7
Percentage change compared to same month the year before (per cent);2018M02;0.6
Percentage change compared to same month the year before (per cent);2018M03;0.5
Percentage change compared to same month the year before (per cent);2018M04;0.8
Percentage change compared to same month the year before (per cent);2018M05;1.1
Percentage change compared to same month the year before (per cent);2018M06;1.1
Percentage change compared to same month the year before (per cent);2018M07;1.1
Percentage change compared to same month the year before (per cent);2018M08;1.0
Percentage change compared to same month the year before (per cent);2018M09;0.6
Percentage change compared to same month the year before (per cent);2018M10;0.8
Percentage change compared to same month the year before (per cent);2018M11;0.8
Percentage change compared to same month the year before (per cent);2018M12;0.8
Percentage change compared to same month the year before (per cent);2019M01;1.3
Percentage change compared to same month the year before (per cent);2019M02;1.1
Percentage change compared to same month the year before (per cent);2019M03;1.2
Percentage change compared to same month the year before (per cent);2019M04;1.0
Percentage change compared to same month the year before (per cent);2019M05;0.7
Percentage change compared to same month the year before (per cent);2019M06;0.6
Percentage change compared to same month the year before (per cent);2019M07;0.4
Percentage change compared to same month the year before (per cent);2019M08;0.4
Percentage change compared to same month the year before (per cent);2019M09;0.5
Percentage change compared to same month the year before (per cent);2019M10;0.6
Percentage change compared to same month the year before (per cent);2019M11;0.7
Percentage change compared to same month the year before (per cent);2019M12;0.8
Percentage change compared to same month the year before (per cent);2020M01;0.7
Percentage change compared to same month the year before (per cent);2020M02;0.8
Percentage change compared to same month the year before (per cent);2020M03;0.4
Percentage change compared to same month the year before (per cent);2020M04;0.0
Percentage change compared to same month the year before (per cent);2020M05;0.0
Percentage change compared to same month the year before (per cent);2020M06;0.3
Percentage change compared to same month the year before (per cent);2020M07;0.5
Percentage change compared to same month the year before (per cent);2020M08;0.5
Percentage change compared to same month the year before (per cent);2020M09;0.6
Percentage change compared to same month the year before (per cent);2020M10;0.4
Percentage change compared to same month the year before (per cent);2020M11;0.5
Percentage change compared to same month the year before (per cent);2020M12;0.5
Percentage change compared to same month the year before (per cent);2021M01;0.6
Percentage change compared to same month the year before (per cent);2021M02;0.6
Percentage change compared to same month the year before (per cent);2021M03;1.0
Percentage change compared to same month the year before (per cent);2021M04;1.5
Percentage change compared to same month the year before (per cent);2021M05;1.7
Percentage change compared to same month the year before (per cent);2021M06;1.7
Percentage change compared to same month the year before (per cent);2021M07;1.6
Percentage change compared to same month the year before (per cent);2021M08;1.8
Percentage change compared to same month the year before (per cent);2021M09;2.2
Percentage change compared to same month the year before (per cent);2021M10;3.0
Percentage change compared to same month the year before (per cent);2021M11;3.4
Percentage change compared to same month the year before (per cent);2021M12;3.1
Percentage change compared to same month the year before (per cent);2022M01;4.3
Percentage change compared to same month the year before (per cent);2022M02;4.8
Percentage change compared to same month the year before (per cent);2022M03;5.4
Percentage change compared to same month the year before (per cent);2022M04;6.7
Percentage change compared to same month the year before (per cent);2022M05;7.4
Percentage change compared to same month the year before (per cent);2022M06;8.2
Percentage change compared to same month the year before (per cent);2022M07;8.7
Percentage change compared to same month the year before (per cent);2022M08;8.9
Percentage change compared to same month the year before (per cent);2022M09;10.0
Percentage change compared to same month the year before (per cent);2022M10;10.1
Percentage change compared to same month the year before (per cent);2022M11;8.9
Percentage change compared to same month the year before (per cent);2022M12;8.7
Percentage change compared to same month the year before (per cent);2023M01;7.7
Percentage change compared to same month the year before (per cent);2023M02;7.6
Percentage change compared to same month the year before (per cent);2023M03;6.7
Percentage change compared to same month the year before (per cent);2023M04;5.3
Percentage change compared to same month the year before (per cent);2023M05;2.9
Percentage change compared to same month the year before (per cent);2023M06;2.5
Percentage change compared to same month the year before (per cent);2023M07;3.1
Percentage change compared to same month the year before (per cent);2023M08;2.4
Percentage change compared to same month the year before (per cent);2023M09;0.9
Percentage change compared to same month the year before (per cent);2023M10;0.1
Percentage change compared to same month the year before (per cent);2023M11;0.6
Percentage change compared to same month the year before (per cent);2023M12;0.7
